Identifier,Book number,page number,Folder Title,Box,Folder,Note,Scan date,Scan initials,Crop initials,title,creator,abstract,date_approximate,Extent,subject,subject_URI,subject2,subject2_URI,subject_geo,subject_geo_URI,form,form_URI,Language,Language 2,typeOfResource,typeOfResource2,rights,rights_statement,repository,provider
ms3976-b1-f1-f3,,,,,,,,,,Lane College scrapbook,"Spann, Lessie Belle","Lessie Belle Spann collected this 45-page scrapbook during her senior year at Lane College in 1923. The scrapbook includes photos cut from yearbooks, poems and messages from classmates, and several personal photos from Spann.",1923,93 pages,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_001,1,1,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 1","Spann, Lessie Belle",My Graduation Journal. Arranged by Eleanora Edwards. Decorations by Clare J. Foy. The Universal Press. Incorporated. Chicago.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_002,1,2,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 2","Spann, Lessie Belle","Copyright 1923. The Universal Press, Inc. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_003,1,3,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 3","Spann, Lessie Belle",Bishop Lane. Founder of Lane College.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_004,1,4,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 4","Spann, Lessie Belle","My Alma Mater. Lane, my Alma Mater, thy name of love. When by memory 'tis fondly recalled; I hear the loved voices from above. I see the dear faces and love them all. I love them because they taught me the way. From ignorance clutches(?) so firm and strong. All lessons I learned there from day to day have helped me to journey life's pathway long. II. Lane, my Alma Mater, precious and dear. I hear the melody of the old bell; I hear as though I still live near near. My heart is touched as when I near did dwell. Long may thy name reserved from hill and plain. Long be the richest truths in merry giv'n. 'Til power and knowledge every where reign. 'Til ignorance from our land is driven. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_005,1,5,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 5","Spann, Lessie Belle",Clubs. 1924. 1924. 1924. Juniors. Juniors.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_006,1,6,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 6","Spann, Lessie Belle","Athletics. ""The Squabblers"" 1923. Signal Signal!!! 1923. ""Studebaker."" Tuti fruiti punch and Judy!! Bet old Lane will do her duty!! Dont you worry dont you fret, Bet old Lane will get there yet!!! RAM!! 1923. Watch out Golden Legs will get you!!! Star 7.B. ""Sam"" Jollette.",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_007,1,7,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 7","Spann, Lessie Belle","Athletics. ""Victims of Defeat."" 1923. The Coach. ""Varsity Circle."" 1923. On the way to victory. 1923. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,still image,text,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_008,1,8,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 8","Spann, Lessie Belle",Athletics.,1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
ms3976-b1-f1_009,1,9,"Lane College Scrapbook (1/3), 1923",1,1,,2023-03-08,SG,JM,"Lane College scrapbook, page 9","Spann, Lessie Belle","Class poem. A band of sisters linger we, / Here at the parting of the ways / As Seniors grace of '23 / we pause to think of gone days. // Half sad, half joyful we await. / A touch from Alma Mater kind / we wonder what shall be our fate / when we these scenes have left behind. // The future now a closed book. / It is not ours to understand. / Lets take a retrospective look, / And here survey our little land. ",1923,,Historically Black colleges and universities,http://id.loc.gov/authorities/subjects/sh2022006092,"College students, Black",http://id.loc.gov/authorities/subjects/sh85028370,Lane College,http://id.loc.gov/authorities/names/n84105266,scrapbooks,http://vocab.getty.edu/aat/300027341,English,,text,,Copyright Not Evaluated,http://rightsstatements.org/vocab/CNE/1.0/,"University of Tennessee, Knoxville. Special Collections","University of Tennessee, Knoxville. Libraries"
